,raceId,driverId,constructorId,grid,positionOrder,statusId,constructorForm,year,constructorPower
1963,113,50,18,20,\N,8,0.7333619496011154,2003.0,0.8505550881170205
1964,113,2,15,4,\N,5,1.1276580727581926,2003.0,1.5268514086339717
1965,113,49,15,15,\N,8,1.1276580727581926,2003.0,1.5268514086339717
1966,114,31,3,3,1,1,2.273518167203879,2003.0,3.0562390832933315
1967,114,23,3,1,4,1,2.273518167203879,2003.0,3.0562390832933315
1968,114,8,1,2,2,1,5.000164300340007,2003.0,2.273518167203879
1969,114,14,1,6,7,1,5.000164300340007,2003.0,2.273518167203879
1970,114,30,6,5,3,1,3.0562390832933315,2003.0,5.000164300340007
1971,114,22,6,7,8,1,3.0562390832933315,2003.0,5.000164300340007
1972,114,4,4,8,5,1,1.8268815547508408,2003.0,1.8268815547508408
1973,114,15,4,4,6,1,1.8268815547508408,2003.0,1.8268815547508408
1974,114,43,7,10,9,11,0.8505550881170205,2003.0,0.7333619496011154
1975,114,44,7,17,13,14,0.8505550881170205,2003.0,0.7333619496011154
1976,114,21,17,12,10,11,1.5268514086339717,2003.0,1.3043673819053694
1977,114,52,17,16,12,12,1.5268514086339717,2003.0,1.3043673819053694
1978,114,2,15,14,11,12,1.1276580727581926,2003.0,1.5268514086339717
1979,114,49,15,15,\N,3,1.1276580727581926,2003.0,1.5268514086339717
1980,114,35,16,11,\N,5,1.3043673819053694,2003.0,0.9797621139807148
1981,114,18,16,20,\N,73,1.3043673819053694,2003.0,0.9797621139807148
1982,114,51,18,19,\N,69,0.7333619496011154,2003.0,0.8505550881170205
1983,114,50,18,18,\N,69,0.7333619496011154,2003.0,0.8505550881170205
1984,114,17,19,9,\N,9,0.9797621139807148,2003.0,1.1276580727581926
1985,114,42,19,13,\N,10,0.9797621139807148,2003.0,1.1276580727581926
1986,115,30,6,3,1,1,5.000164300340007,2003.0,5.000164300340007
1987,115,22,6,5,5,1,5.000164300340007,2003.0,5.000164300340007
1988,115,23,3,1,2,1,2.273518167203879,2003.0,3.0562390832933315
1989,115,31,3,2,3,1,2.273518167203879,2003.0,3.0562390832933315
1990,115,4,4,4,4,1,1.8268815547508408,2003.0,1.8268815547508408
1991,115,15,4,8,\N,3,1.8268815547508408,2003.0,1.8268815547508408
1992,115,8,1,20,6,1,3.0562390832933315,2003.0,2.273518167203879
1993,115,14,1,11,\N,6,3.0562390832933315,2003.0,2.273518167203879
1994,115,17,19,6,7,11,0.9797621139807148,2003.0,1.1276580727581926
1995,115,42,19,13,10,14,0.9797621139807148,2003.0,1.1276580727581926
1996,115,44,7,7,8,11,0.8505550881170205,2003.0,0.7333619496011154
1997,115,43,7,9,11,16,0.8505550881170205,2003.0,0.7333619496011154
1998,115,50,18,15,9,12,0.7333619496011154,2003.0,0.8505550881170205
1999,115,51,18,18,\N,6,0.7333619496011154,2003.0,0.8505550881170205
2000,115,18,16,17,\N,6,1.3043673819053694,2003.0,0.9797621139807148
2001,115,35,16,14,\N,23,1.3043673819053694,2003.0,0.9797621139807148
2002,115,2,15,12,\N,5,1.1276580727581926,2003.0,1.5268514086339717
2003,115,49,15,10,\N,40,1.1276580727581926,2003.0,1.5268514086339717
2004,115,21,17,16,\N,6,1.5268514086339717,2003.0,1.3043673819053694
2005,115,52,17,19,\N,5,1.5268514086339717,2003.0,1.3043673819053694
2006,116,23,3,3,1,1,3.0562390832933315,2003.0,3.0562390832933315
2007,116,31,3,4,2,1,3.0562390832933315,2003.0,3.0562390832933315
2008,116,22,6,5,3,1,5.000164300340007,2003.0,5.000164300340007
2009,116,30,6,2,5,1,5.000164300340007,2003.0,5.000164300340007
2010,116,4,4,8,4,1,1.8268815547508408,2003.0,1.8268815547508408
2011,116,15,4,6,\N,32,1.8268815547508408,2003.0,1.8268815547508408
2012,116,17,19,11,6,11,0.9797621139807148,2003.0,1.1276580727581926
2013,116,42,19,16,10,11,0.9797621139807148,2003.0,1.1276580727581926
2014,116,18,16,12,7,11,1.5268514086339717,2003.0,0.9797621139807148
2015,116,35,16,17,\N,6,1.5268514086339717,2003.0,0.9797621139807148
2016,116,2,15,20,8,11,1.1276580727581926,2003.0,1.5268514086339717
2017,116,49,15,15,9,11,1.1276580727581926,2003.0,1.5268514086339717
2018,116,52,17,14,11,12,1.3043673819053694,2003.0,1.3043673819053694
2019,116,21,17,13,12,12,1.3043673819053694,2003.0,1.3043673819053694
2020,116,51,18,19,13,12,0.7333619496011154,2003.0,0.8505550881170205
2021,116,50,18,18,14,13,0.7333619496011154,2003.0,0.8505550881170205
2022,116,14,1,9,15,14,2.273518167203879,2003.0,2.273518167203879
2023,116,8,1,1,\N,5,2.273518167203879,2003.0,2.273518167203879
2024,116,43,7,10,\N,5,0.8505550881170205,2003.0,0.7333619496011154
2025,116,44,7,7,\N,20,0.8505550881170205,2003.0,0.7333619496011154
2026,117,23,3,1,1,1,3.0562390832933315,2003.0,3.0562390832933315
2027,117,31,3,2,2,1,3.0562390832933315,2003.0,3.0562390832933315
2028,117,30,6,3,3,1,5.000164300340007,2003.0,5.000164300340007
2029,117,22,6,8,7,11,5.000164300340007,2003.0,5.000164300340007
2030,117,8,1,4,4,1,2.273518167203879,2003.0,2.273518167203879
2031,117,14,1,5,5,1,2.273518167203879,2003.0,2.273518167203879
2032,117,17,19,9,6,1,1.3043673819053694,2003.0,1.1276580727581926
2033,117,42,19,11,10,11,1.3043673819053694,2003.0,1.1276580727581926
2034,117,44,7,10,8,11,0.8505550881170205,2003.0,0.7333619496011154
2035,117,43,7,13,11,11,0.8505550881170205,2003.0,0.7333619496011154
2036,117,35,16,12,9,11,1.5268514086339717,2003.0,0.9797621139807148
2037,117,18,16,14,\N,74,1.5268514086339717,2003.0,0.9797621139807148
2038,117,49,15,16,12,12,0.9797621139807148,2003.0,1.5268514086339717
2039,117,2,15,15,13,12,0.9797621139807148,2003.0,1.5268514086339717
2040,117,51,18,20,14,13,0.7333619496011154,2003.0,0.8505550881170205
2041,117,50,18,19,16,14,0.7333619496011154,2003.0,0.8505550881170205
2042,117,52,17,18,15,13,1.1276580727581926,2003.0,1.3043673819053694
2043,117,21,17,17,\N,5,1.1276580727581926,2003.0,1.3043673819053694
2044,117,15,4,6,\N,5,1.8268815547508408,2003.0,1.8268815547508408
2045,117,4,4,7,\N,5,1.8268815547508408,2003.0,1.8268815547508408
2046,118,22,6,1,1,1,5.000164300340007,2003.0,5.000164300340007
2047,118,30,6,5,4,1,5.000164300340007,2003.0,5.000164300340007
2048,118,31,3,7,2,1,3.0562390832933315,2003.0,3.0562390832933315
2049,118,23,3,4,9,1,3.0562390832933315,2003.0,3.0562390832933315
2050,118,8,1,3,3,1,2.273518167203879,2003.0,2.273518167203879
2051,118,14,1,12,5,1,2.273518167203879,2003.0,2.273518167203879
2052,118,15,4,2,6,1,1.8268815547508408,2003.0,1.8268815547508408
2053,118,4,4,8,\N,6,1.8268815547508408,2003.0,1.8268815547508408
2054,118,43,7,6,7,1,0.8505550881170205,2003.0,0.7333619496011154
2055,118,44,7,13,11,1,0.8505550881170205,2003.0,0.7333619496011154
2056,118,18,16,20,8,1,1.5268514086339717,2003.0,0.9797621139807148
2057,118,35,16,9,10,1,1.5268514086339717,2003.0,0.9797621139807148
2058,118,49,15,14,12,1,0.9797621139807148,2003.0,1.5268514086339717
2059,118,2,15,16,17,12,0.9797621139807148,2003.0,1.5268514086339717
2060,118,52,17,17,13,11,1.1276580727581926,2003.0,1.3043673819053694
2061,118,21,17,15,\N,22,1.1276580727581926,2003.0,1.3043673819053694
2062,118,17,19,11,14,11,1.3043673819053694,2003.0,1.1276580727581926
2063,118,42,19,10,\N,5,1.3043673819053694,2003.0,1.1276580727581926
2064,118,50,18,19,15,12,0.7333619496011154,2003.0,0.8505550881170205
2065,118,51,18,18,16,12,0.7333619496011154,2003.0,0.8505550881170205
