,raceId,driverId,constructorId,grid,position,statusId,constructorForm,driverPerformance
170,26,6,3,15,8,11,1.3043673819053694,0.6549715077136657
171,26,3,3,20,9,11,1.3043673819053694,0.8263746226878097
172,26,17,9,2,10,11,1.5268514086339717,0.8886037058933024
173,26,14,9,11,\N,4,1.5268514086339717,0.618117663613641
174,26,7,5,13,11,11,0.8505550881170205,0.7128140986174973
175,26,20,5,8,\N,4,0.8505550881170205,0.7502601055951177
176,26,21,10,19,\N,20,0.7333619496011154,0.7980199768666099
177,26,16,10,18,\N,20,0.7333619496011154,0.6743268506186608
178,27,1,1,1,1,1,2.273518167203879,0.7889111348404987
179,27,5,1,3,5,1,2.273518167203879,0.6810301142004183
180,27,12,4,17,2,1,1.3043673819053694,0.5797341653355605
181,27,4,4,5,11,1,1.3043673819053694,0.9572484719527076
182,27,13,6,2,3,1,5.000164300340007,0.7386300052586465
183,27,8,6,6,6,1,5.000164300340007,0.7236407669671323
184,27,2,2,12,4,1,3.0562390832933315,0.6545119113855552
185,27,9,2,7,7,1,3.0562390832933315,0.8270857709173662
186,27,20,5,9,8,1,0.8505550881170205,0.7682617961146871
187,27,7,5,15,12,1,0.8505550881170205,0.6972762103129095
188,27,15,7,4,9,1,1.8268815547508408,0.8931430066462583
189,27,10,7,11,\N,22,1.8268815547508408,0.6156144825056657
190,27,3,3,13,10,1,1.1276580727581926,0.8313510927744907
191,27,6,3,16,14,1,1.1276580727581926,0.6517788674028884
192,27,14,9,10,13,1,1.5268514086339717,0.6313947038935961
193,27,17,9,8,\N,5,1.5268514086339717,0.8650670292095166
194,27,16,10,19,15,1,0.7333619496011154,0.682605965209145
195,27,21,10,20,16,1,0.7333619496011154,0.7868210217449813
196,27,18,11,14,17,11,0.9797621139807148,0.6989601615758211
197,27,22,11,18,\N,4,0.9797621139807148,0.7662315619485913
198,28,5,1,2,1,1,3.0562390832933315,0.6896093853782083
199,28,1,1,1,5,1,3.0562390832933315,0.7777619974663458
200,28,10,7,5,2,1,1.8268815547508408,0.6330317836103598
201,28,15,7,9,7,1,1.8268815547508408,0.8622418980310893
202,28,8,6,6,3,1,5.000164300340007,0.7431735472396829
203,28,13,6,3,17,5,5.000164300340007,0.7193320483022807
204,28,4,4,7,4,1,1.5268514086339717,0.949225494533676
205,28,12,4,10,6,1,1.5268514086339717,0.584555005411403
206,28,9,2,4,8,1,2.273518167203879,0.8450706127324875
207,28,2,2,15,10,1,2.273518167203879,0.6432426074346906
208,28,17,9,8,9,1,1.3043673819053694,0.8660058842185551
209,28,14,9,13,11,1,1.3043673819053694,0.6308530537695868
210,28,18,11,12,12,11,0.9797621139807148,0.717689872587564
211,28,22,11,17,16,12,0.9797621139807148,0.7449343947832416
212,28,6,3,16,13,11,1.1276580727581926,0.6566526517598458
213,28,3,3,14,14,11,1.1276580727581926,0.8237883698338433
